healthy;infected;dead;#dominant_virus
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
125;2;0;NP-Virus-G0
125;2;0;NP-Virus-G0
124;3;0;NP-Virus-G0
124;3;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G1
121;6;0;NP-Virus-G0
121;6;0;NP-Virus-G0
122;5;0;NP-Virus-G1
123;4;0;NP-Virus-G3
123;4;0;NP-Virus-G3
123;4;0;NP-Virus-G3
122;5;0;NP-Virus-G3
122;5;0;NP-Virus-G3
119;8;0;NP-Virus-G2
117;10;0;NP-Virus-G2
116;11;0;NP-Virus-G2
114;13;0;NP-Virus-G2
112;15;0;NP-Virus-G2
111;16;0;NP-Virus-G2
111;16;0;NP-Virus-G2
109;18;0;NP-Virus-G3
110;17;0;NP-Virus-G2
111;16;0;NP-Virus-G2
111;16;0;NP-Virus-G3
112;15;0;NP-Virus-G3
114;13;0;NP-Virus-G3
114;13;0;NP-Virus-G3
114;13;0;NP-Virus-G3
115;12;0;NP-Virus-G3
114;13;0;NP-Virus-G2
116;11;0;NP-Virus-G2
115;12;0;NP-Virus-G2
114;13;0;NP-Virus-G2
113;14;0;NP-Virus-G2
114;13;0;NP-Virus-G2
114;13;0;NP-Virus-G2
114;13;0;NP-Virus-G2
114;13;0;NP-Virus-G2
113;14;0;NP-Virus-G2
117;10;0;NP-Virus-G3
117;10;0;NP-Virus-G2
117;10;0;NP-Virus-G2
118;9;0;NP-Virus-G2
117;10;0;NP-Virus-G2
117;10;0;NP-Virus-G2
118;9;0;NP-Virus-G2
115;12;0;NP-Virus-G2
117;10;0;NP-Virus-G3
118;9;0;NP-Virus-G3
117;10;0;NP-Virus-G3
119;8;0;NP-Virus-G3
118;9;0;NP-Virus-G3
118;9;0;NP-Virus-G3
119;8;0;NP-Virus-G3
118;9;0;NP-Virus-G3
118;9;0;NP-Virus-G3
117;10;0;NP-Virus-G3
117;10;0;NP-Virus-G3
117;10;0;NP-Virus-G3
119;8;0;NP-Virus-G3
118;9;0;NP-Virus-G3
121;6;0;NP-Virus-G2
121;6;0;NP-Virus-G2
121;6;0;NP-Virus-G2
121;6;0;NP-Virus-G2
122;5;0;NP-Virus-G4
121;6;0;NP-Virus-G4
121;6;0;NP-Virus-G4
117;10;0;NP-Virus-G4
117;10;0;NP-Virus-G4
117;10;0;NP-Virus-G4
117;10;0;NP-Virus-G4
117;10;0;NP-Virus-G4
116;11;0;NP-Virus-G4
118;9;0;NP-Virus-G4
119;8;0;NP-Virus-G4
117;10;0;NP-Virus-G4
116;11;0;NP-Virus-G4
114;13;0;NP-Virus-G4
116;11;0;NP-Virus-G4
115;12;0;NP-Virus-G4
115;12;0;NP-Virus-G4
112;15;0;NP-Virus-G4
114;13;0;NP-Virus-G4
115;12;0;NP-Virus-G4
115;12;0;NP-Virus-G4
116;11;0;NP-Virus-G4
115;12;0;NP-Virus-G4
115;12;0;NP-Virus-G4
116;11;0;NP-Virus-G4
115;12;0;NP-Virus-G4
113;14;0;NP-Virus-G4
113;14;0;NP-Virus-G4
113;14;0;NP-Virus-G4
114;13;0;NP-Virus-G4
112;15;0;NP-Virus-G4
113;14;0;NP-Virus-G4
112;15;0;NP-Virus-G4
113;14;0;NP-Virus-G4
113;14;0;NP-Virus-G4
114;13;0;NP-Virus-G4
114;13;0;NP-Virus-G4
114;13;0;NP-Virus-G6
109;18;0;NP-Virus-G6
108;19;0;NP-Virus-G6
108;19;0;NP-Virus-G6
108;19;0;NP-Virus-G6
110;17;0;NP-Virus-G6
109;18;0;NP-Virus-G6
107;20;0;NP-Virus-G6
104;23;0;NP-Virus-G6
104;23;0;NP-Virus-G6
102;25;0;NP-Virus-G6
103;24;0;NP-Virus-G6
100;27;0;NP-Virus-G6
100;27;0;NP-Virus-G6
103;24;0;NP-Virus-G6
103;24;0;NP-Virus-G6
103;24;0;NP-Virus-G6
103;24;0;NP-Virus-G6
100;27;0;NP-Virus-G6
101;26;0;NP-Virus-G6
99;28;0;NP-Virus-G6
99;28;0;NP-Virus-G6
100;27;0;NP-Virus-G6
98;29;0;NP-Virus-G6
98;29;0;NP-Virus-G6
98;29;0;NP-Virus-G6
96;31;0;NP-Virus-G6
97;30;0;NP-Virus-G6
94;33;0;NP-Virus-G6
91;36;0;NP-Virus-G6
88;39;0;NP-Virus-G6
86;41;0;NP-Virus-G6
85;42;0;NP-Virus-G6
83;44;0;NP-Virus-G6
77;50;0;NP-Virus-G8
76;51;0;NP-Virus-G8
77;50;0;NP-Virus-G8
78;49;0;NP-Virus-G8
76;51;0;NP-Virus-G6
77;50;0;NP-Virus-G6
76;51;0;NP-Virus-G6
72;55;0;NP-Virus-G9
70;57;0;NP-Virus-G9
67;60;0;NP-Virus-G9
67;60;0;NP-Virus-G9
71;56;0;NP-Virus-G9
71;56;0;NP-Virus-G9
69;58;0;NP-Virus-G9
68;59;0;NP-Virus-G9
63;64;0;NP-Virus-G9
64;63;0;NP-Virus-G9
66;61;0;NP-Virus-G8
65;62;0;NP-Virus-G9
65;62;0;NP-Virus-G8
68;59;0;NP-Virus-G8
63;64;0;NP-Virus-G8
62;65;0;NP-Virus-G8
62;65;0;NP-Virus-G8
58;69;0;NP-Virus-G8
57;70;0;NP-Virus-G8
54;73;0;NP-Virus-G8
56;71;0;NP-Virus-G8
54;73;0;NP-Virus-G8
54;73;0;NP-Virus-G9
52;75;0;NP-Virus-G9
54;73;0;NP-Virus-G9
52;75;0;NP-Virus-G9
51;76;0;NP-Virus-G9
52;75;0;NP-Virus-G9
52;75;0;NP-Virus-G9
49;78;0;NP-Virus-G9
45;82;0;NP-Virus-G9
38;89;0;NP-Virus-G9
37;90;0;NP-Virus-G9
41;86;0;NP-Virus-G9
41;86;0;NP-Virus-G9
40;87;0;NP-Virus-G9
37;90;0;NP-Virus-G9
36;91;0;NP-Virus-G9
35;92;0;NP-Virus-G9
35;92;0;NP-Virus-G9
35;92;0;NP-Virus-G9
36;91;0;NP-Virus-G9
36;91;0;NP-Virus-G9
34;93;0;NP-Virus-G9
33;94;0;NP-Virus-G9
32;95;0;NP-Virus-G9
31;96;0;NP-Virus-G9
31;96;0;NP-Virus-G9
28;99;0;NP-Virus-G9
30;97;0;NP-Virus-G9
30;97;0;NP-Virus-G9
29;98;0;NP-Virus-G9
29;98;0;NP-Virus-G9
28;99;0;NP-Virus-G9
29;98;0;NP-Virus-G9
26;101;0;NP-Virus-G9
26;101;0;NP-Virus-G9
23;104;0;NP-Virus-G9
26;101;0;NP-Virus-G9
25;102;0;NP-Virus-G9
24;103;0;NP-Virus-G9
22;105;0;NP-Virus-G8
24;103;0;NP-Virus-G8
23;104;0;NP-Virus-G8
20;107;0;NP-Virus-G8
18;109;0;NP-Virus-G8
17;110;0;NP-Virus-G8
16;111;0;NP-Virus-G8
16;111;0;NP-Virus-G8
14;113;0;NP-Virus-G8
14;113;0;NP-Virus-G8
14;113;0;NP-Virus-G8
14;113;0;NP-Virus-G8
15;112;0;NP-Virus-G9
13;114;0;NP-Virus-G9
10;117;0;NP-Virus-G8
9;118;0;NP-Virus-G9
11;116;0;NP-Virus-G9
10;117;0;NP-Virus-G9
11;116;0;NP-Virus-G9
9;118;0;NP-Virus-G9
11;116;0;NP-Virus-G9
9;118;0;NP-Virus-G9
11;116;0;NP-Virus-G8
10;117;0;NP-Virus-G8
10;117;0;NP-Virus-G8
10;117;0;NP-Virus-G8
11;116;0;NP-Virus-G9
12;115;0;NP-Virus-G9
11;116;0;NP-Virus-G9
10;117;0;NP-Virus-G9
11;116;0;NP-Virus-G9
10;117;0;NP-Virus-G9
9;118;0;NP-Virus-G9
12;115;0;NP-Virus-G9
10;117;0;NP-Virus-G9
10;117;0;NP-Virus-G9
10;117;0;NP-Virus-G9
11;116;0;NP-Virus-G9
10;117;0;NP-Virus-G9
9;118;0;NP-Virus-G9
9;118;0;NP-Virus-G9
7;120;0;NP-Virus-G9
6;121;0;NP-Virus-G9
6;121;0;NP-Virus-G9
5;122;0;NP-Virus-G9
6;121;0;NP-Virus-G9
4;123;0;NP-Virus-G9
4;123;0;NP-Virus-G9
4;123;0;NP-Virus-G9
3;124;0;NP-Virus-G9
4;123;0;NP-Virus-G9
4;123;0;NP-Virus-G9
4;123;0;NP-Virus-G9
3;124;0;NP-Virus-G9
3;124;0;NP-Virus-G9
4;123;0;NP-Virus-G9
4;123;0;NP-Virus-G9
2;125;0;NP-Virus-G9
2;125;0;NP-Virus-G9
2;125;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
2;125;0;NP-Virus-G9
2;125;0;NP-Virus-G9
2;125;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
1;126;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
0;127;0;NP-Virus-G9
