cough_rate;sweating;virus_resistance;aggressiveness;movement_speed;exhaustion_tolerance;pain_tolerance
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;1;1;1;1;1;1
1;0.7055187;1.462627;1;1;1;0.6378117
1;0.8036792;1.308418;1;1;1;0.7585411
1;0.8527594;1.231313;1;1;1;0.5833957
1;0.8527594;1.231313;1;1;1;0.5833957
1;0.8527594;1.231313;1;1;1;0.5833957
1;0.8527594;1.231313;1;1;1;0.5833957
1;0.8822075;0.9996666;1;1;0.8834616;0.4783085
1;0.8527594;1.231313;1;1;1;0.5833957
1;0.8822075;1.185051;1;1;1;0.4783085
1;0.8822075;1.185051;1;1;1;0.4783085
1;1;1;1;1;1;0.5289798
1;1;1;0.8088295;1;1;0.8115919
1;1;1;0.8088295;1;1;0.8115919
1;1;1;0.8088295;1;1;0.8115919
1;1;1;0.7610368;1;1;0.7644899
1;1;1;0.7610368;1;1;0.7644899
1;1;1;0.7610368;1;1;0.7644899
1;1;1;0.7610368;1;1;0.7644899
1;1;1;0.7610368;1;1;0.7644899
1;1;1.062133;0.5220736;1;1;0.7644899
1;0.8889369;1.035504;0.6315831;1;1;0.8654228
1;0.8704264;1.041422;0.5701803;1;1;1
1;0.8704264;1.041422;0.5701803;1;1;1
1;0.8704264;1.041422;0.5701803;1;1;1
1;0.9028198;1.031066;0.5581537;1;1;1
1;0.9028198;1.031066;0.6415553;1;1;1
1;0.9028198;1.062133;0.5903054;1;1;1
1;0.8272352;1.055229;0.6358271;1;1;1
1;0.8445117;1.049706;0.6722444;1;1;1
1;0.8445117;1.049706;0.6722444;1;1;1
1;0.752838;1.045187;0.6151447;1;1;1
1;0.7281218;1.049706;0.6722444;1;1;1
0.9386596;0.793037;0.9880387;0.4940395;1;1;1
0.943041;0.7802159;0.9888931;0.4619043;1;1;1
0.9468383;0.7948682;0.9932044;0.4340539;1;1;1
0.9501609;0.8059224;1.06548;0.3552611;1;0.9725658;0.9455947
0.9595661;0.830076;1.068828;0.3552611;1;0.9725658;0.9455947
0.9595661;0.830076;1.068828;0.3552611;1;0.9725658;0.9455947
0.9707965;0.8400716;1.06793;0.3369603;1.035632;0.9741797;0.948795
0.9707965;0.8858035;1.071081;0.2777286;1.035632;0.9741797;0.948795
0.9738705;0.926155;1.102841;0.3190532;0.9508482;0.9768976;0.9651821
0.975177;0.9298472;1.110125;0.3326006;0.9037935;0.9780527;0.9669229
0.9763591;0.9331878;1.127833;0.2473496;0.9083747;0.9581956;0.9684981
0.9651894;0.8786732;1.136934;0.3247408;0.948954;0.9566455;0.9410759
0.9651894;0.8786732;1.136934;0.3247408;0.948954;0.9566455;0.9410759
0.9651894;0.8786732;1.136934;0.3247408;0.948954;0.9566455;0.9410759
0.963797;0.8892784;1.142411;0.3577987;0.9249371;0.9549114;0.9818962
0.9684491;0.8752318;1.152968;0.4189565;0.9352906;0.9432045;0.9843932
0.9673223;0.8707758;1.158432;0.398205;0.9329795;0.9411761;0.9838358
0.9673223;0.8707758;1.131912;0.4487989;0.8976135;0.9568528;0.9838358
0.9684491;0.8752318;1.135934;0.453668;0.8669976;0.9583406;0.9843932
0.9695008;0.8793907;1.108437;0.4383144;0.9044393;0.9597293;0.9849135
0.9956346;0.8582026;1.104939;0.4549321;0.9267779;0.9610283;0.9854001
0.9953336;0.8401768;1.1337;0.4652935;0.990021;0.9583406;0.9843932
1.00284;0.8337588;1.118927;0.548279;0.990021;0.9798497;0.9843932
0.9699428;0.8605672;1.120774;0.5169233;0.9903247;0.9798497;0.9843932
0.9688693;0.8748119;1.133964;0.5395447;0.96866;0.9791301;0.9838358
0.9685157;0.8571087;1.111561;0.5143134;0.9760553;0.9791301;0.9452848
0.9673496;0.8806104;1.115693;0.496325;0.9751685;0.9783571;0.9432583
0.9688693;0.8957719;1.14284;0.4970017;0.9760553;0.9791301;0.9452848
0.9677163;0.9050429;1.111424;0.4715059;0.9384927;0.9946087;0.9090175
0.9688693;0.9084342;1.133964;0.4934492;0.9608312;0.976339;0.8954517
1.004068;0.9232993;1.132472;0.4756978;0.96644;0.970146;0.9123095
0.9865634;0.9180095;1.158643;0.4368667;0.9850131;0.9634529;0.9062619
0.9963187;0.8986692;1.159854;0.4573407;0.9741024;0.9646711;0.9093865
