at_home;at_hospital;wandering;chasing;going_home;going_to_hospital
0;0;127;0;0;0
0;0;127;0;0;0
0;0;127;0;0;0
0;0;127;0;0;0
0;0;127;0;0;0
0;0;127;0;0;0
0;0;124;0;3;0
0;0;119;0;8;0
0;0;107;0;20;0
0;0;95;0;32;0
2;0;78;0;47;0
3;0;63;0;61;0
4;0;44;0;79;0
11;0;37;0;79;0
18;0;21;0;88;0
22;0;20;0;85;0
22;0;27;0;78;0
25;0;37;0;65;0
27;0;43;0;57;0
31;0;54;0;42;0
37;0;62;0;28;0
31;0;72;0;24;0
23;0;87;0;17;0
18;0;89;0;20;0
14;0;87;0;26;0
8;0;82;0;37;0
5;0;77;0;45;0
7;0;71;0;49;0
11;0;59;0;57;0
15;0;47;0;65;0
13;0;45;0;69;0
13;0;42;0;72;0
23;0;34;0;70;0
32;0;34;0;61;0
32;0;43;0;52;0
24;0;58;0;45;0
23;0;68;0;36;0
21;0;70;0;36;0
20;0;76;0;31;0
20;0;75;0;32;0
12;0;75;0;40;0
12;0;79;0;36;0
14;0;69;0;44;0
12;0;62;0;53;0
17;0;60;0;50;0
18;0;51;0;58;0
16;0;50;0;61;0
20;0;47;0;60;0
20;0;46;0;61;0
21;0;49;0;57;0
23;0;54;0;50;0
20;0;57;0;50;0
27;0;61;0;39;0
28;0;60;0;39;0
22;0;63;0;42;0
16;0;67;0;44;0
15;0;69;0;43;0
17;0;61;0;49;0
19;0;60;0;48;0
23;0;54;0;50;0
19;0;56;0;52;0
19;0;55;0;53;0
23;0;49;0;55;0
31;0;48;0;48;0
26;0;54;0;47;0
24;0;58;0;45;0
20;0;60;1;46;0
20;0;57;1;49;0
22;0;54;1;50;0
18;0;60;1;48;0
22;0;60;1;44;0
24;0;57;1;45;0
25;0;55;0;47;0
25;0;51;0;51;0
23;0;53;0;51;0
24;0;56;0;47;0
23;0;56;0;48;0
22;0;55;0;50;0
20;0;59;0;47;1
21;0;60;0;45;1
18;0;64;0;44;1
18;0;65;1;42;1
18;0;59;1;48;1
21;0;54;0;51;1
19;0;53;0;54;1
18;0;51;0;57;1
25;0;48;0;53;1
25;0;51;0;50;0
24;0;58;0;44;0
22;0;62;0;42;0
27;0;59;1;39;0
25;0;63;0;38;0
20;0;65;0;41;0
18;0;62;1;45;0
17;0;64;1;44;0
17;0;61;1;47;0
16;0;62;2;46;0
18;0;57;2;49;0
18;0;61;1;46;0
23;0;51;2;50;0
25;0;51;1;49;0
23;0;51;1;51;0
16;0;54;2;53;0
18;0;52;2;53;0
20;0;51;2;52;0
23;0;58;0;44;0
24;0;60;1;40;0
28;0;55;0;42;0
17;0;60;1;46;0
20;0;62;1;41;0
18;0;60;1;45;0
16;0;59;2;47;0
18;0;58;3;45;0
26;0;52;1;44;0
29;0;55;1;38;0
25;0;50;0;48;0
22;0;51;0;50;0
18;0;56;0;49;0
18;0;49;1;55;0
17;0;53;0;53;0
26;0;52;0;45;0
27;0;55;0;41;0
23;0;57;1;42;0
24;0;58;1;40;0
25;0;53;2;43;0
24;0;55;2;42;0
18;0;59;1;45;0
18;0;57;1;47;0
22;0;55;1;45;0
22;0;55;2;44;0
21;0;57;1;44;0
18;0;60;0;45;0
18;0;61;0;44;0
16;0;59;1;47;0
20;0;52;2;49;0
21;0;48;1;53;0
28;0;42;1;52;0
24;0;44;2;53;0
22;0;44;4;53;0
24;0;47;2;50;0
32;0;47;2;42;0
35;0;47;2;39;0
28;0;55;3;37;0
22;0;64;1;36;0
22;0;63;1;37;0
17;0;65;0;41;0
20;0;61;0;42;0
21;0;59;1;42;0
24;0;57;0;42;0
23;0;56;0;44;0
17;0;55;1;50;0
19;0;51;0;53;0
17;0;49;2;55;0
25;0;49;0;49;0
