healthy;infected;dead;#dominant_virus
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
126;1;0;NP-Virus-G0
125;2;0;NP-Virus-G0
124;3;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
122;5;0;NP-Virus-G0
123;4;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
123;4;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
122;5;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
123;4;0;NP-Virus-G0
120;7;0;NP-Virus-G0
121;6;0;NP-Virus-G0
121;6;0;NP-Virus-G0
121;6;0;NP-Virus-G0
119;8;0;NP-Virus-G0
119;8;0;NP-Virus-G0
119;8;0;NP-Virus-G0
118;9;0;NP-Virus-G0
117;10;0;NP-Virus-G0
117;10;0;NP-Virus-G0
116;11;0;NP-Virus-G0
117;10;0;NP-Virus-G0
114;13;0;NP-Virus-G0
113;14;0;NP-Virus-G0
112;15;0;NP-Virus-G0
111;16;0;NP-Virus-G0
111;16;0;NP-Virus-G0
111;16;0;NP-Virus-G0
110;17;0;NP-Virus-G0
110;17;0;NP-Virus-G0
108;19;0;NP-Virus-G0
107;20;0;NP-Virus-G0
106;21;0;NP-Virus-G0
101;26;0;NP-Virus-G0
101;26;0;NP-Virus-G0
101;26;0;NP-Virus-G0
102;25;0;NP-Virus-G0
98;29;0;NP-Virus-G0
99;28;0;NP-Virus-G0
99;28;0;NP-Virus-G0
98;29;0;NP-Virus-G0
97;30;0;NP-Virus-G0
96;31;0;NP-Virus-G0
98;29;0;NP-Virus-G0
98;29;0;NP-Virus-G0
98;29;0;NP-Virus-G0
99;28;0;NP-Virus-G0
99;28;0;NP-Virus-G0
100;27;0;NP-Virus-G0
99;28;0;NP-Virus-G0
100;27;0;NP-Virus-G0
99;28;0;NP-Virus-G0
96;31;0;NP-Virus-G0
98;29;0;NP-Virus-G0
97;30;0;NP-Virus-G0
98;29;0;NP-Virus-G0
97;30;0;NP-Virus-G0
95;32;0;NP-Virus-G0
95;32;0;NP-Virus-G0
96;31;0;NP-Virus-G0
96;31;0;NP-Virus-G0
98;29;0;NP-Virus-G0
98;29;0;NP-Virus-G0
95;32;0;NP-Virus-G0
90;37;0;NP-Virus-G0
91;36;0;NP-Virus-G0
88;39;0;NP-Virus-G0
88;39;0;NP-Virus-G0
91;35;1;NP-Virus-G0
89;37;1;NP-Virus-G0
86;40;1;NP-Virus-G0
87;39;1;NP-Virus-G0
86;40;1;NP-Virus-G0
86;40;1;NP-Virus-G0
86;40;1;NP-Virus-G0
86;40;1;NP-Virus-G0
85;41;1;NP-Virus-G0
80;46;1;NP-Virus-G0
80;46;1;NP-Virus-G0
81;45;1;NP-Virus-G0
83;43;1;NP-Virus-G0
82;44;1;NP-Virus-G0
81;45;1;NP-Virus-G0
79;46;2;NP-Virus-G0
80;45;2;NP-Virus-G1
79;46;2;NP-Virus-G1
78;47;2;NP-Virus-G1
76;49;2;NP-Virus-G1
76;49;2;NP-Virus-G1
74;50;3;NP-Virus-G1
76;48;3;NP-Virus-G1
79;45;3;NP-Virus-G1
81;43;3;NP-Virus-G1
83;40;4;NP-Virus-G1
85;38;4;NP-Virus-G0
84;39;4;NP-Virus-G0
85;38;4;NP-Virus-G0
81;42;4;NP-Virus-G1
83;40;4;NP-Virus-G1
81;42;4;NP-Virus-G1
84;39;4;NP-Virus-G1
84;39;4;NP-Virus-G1
83;40;4;NP-Virus-G1
82;41;4;NP-Virus-G1
79;44;4;NP-Virus-G1
79;44;4;NP-Virus-G1
79;44;4;NP-Virus-G1
79;44;4;NP-Virus-G1
74;49;4;NP-Virus-G1
75;48;4;NP-Virus-G1
76;47;4;NP-Virus-G1
76;47;4;NP-Virus-G1
80;43;4;NP-Virus-G1
80;43;4;NP-Virus-G1
81;42;4;NP-Virus-G1
81;42;4;NP-Virus-G1
82;41;4;NP-Virus-G1
81;42;4;NP-Virus-G1
80;43;4;NP-Virus-G1
81;42;4;NP-Virus-G1
83;40;4;NP-Virus-G1
86;37;4;NP-Virus-G2
84;39;4;NP-Virus-G2
83;40;4;NP-Virus-G2
85;38;4;NP-Virus-G2
83;40;4;NP-Virus-G2
87;36;4;NP-Virus-G2
88;35;4;NP-Virus-G2
87;36;4;NP-Virus-G2
86;37;4;NP-Virus-G2
86;37;4;NP-Virus-G2
85;38;4;NP-Virus-G2
86;37;4;NP-Virus-G2
86;37;4;NP-Virus-G2
85;38;4;NP-Virus-G2
83;40;4;NP-Virus-G2
82;41;4;NP-Virus-G2
83;40;4;NP-Virus-G2
83;40;4;NP-Virus-G2
83;40;4;NP-Virus-G2
82;41;4;NP-Virus-G2
83;40;4;NP-Virus-G2
79;44;4;NP-Virus-G2
81;42;4;NP-Virus-G2
80;43;4;NP-Virus-G2
79;44;4;NP-Virus-G2
79;44;4;NP-Virus-G2
79;44;4;NP-Virus-G2
81;42;4;NP-Virus-G2
79;44;4;NP-Virus-G2
81;42;4;NP-Virus-G2
81;42;4;NP-Virus-G2
81;42;4;NP-Virus-G2
79;44;4;NP-Virus-G2
80;43;4;NP-Virus-G2
85;38;4;NP-Virus-G2
84;39;4;NP-Virus-G2
82;41;4;NP-Virus-G2
81;42;4;NP-Virus-G1
82;41;4;NP-Virus-G1
86;37;4;NP-Virus-G2
87;36;4;NP-Virus-G1
87;36;4;NP-Virus-G1
87;36;4;NP-Virus-G1
86;37;4;NP-Virus-G1
89;34;4;NP-Virus-G1
88;35;4;NP-Virus-G1
87;36;4;NP-Virus-G1
88;35;4;NP-Virus-G1
89;34;4;NP-Virus-G1
88;35;4;NP-Virus-G1
89;34;4;NP-Virus-G1
89;34;4;NP-Virus-G1
91;32;4;NP-Virus-G1
92;31;4;NP-Virus-G1
92;31;4;NP-Virus-G4
95;27;5;NP-Virus-G2
93;29;5;NP-Virus-G4
94;28;5;NP-Virus-G4
93;29;5;NP-Virus-G4
93;29;5;NP-Virus-G4
92;30;5;NP-Virus-G4
93;29;5;NP-Virus-G4
92;30;5;NP-Virus-G4
92;30;5;NP-Virus-G4
92;30;5;NP-Virus-G4
94;28;5;NP-Virus-G4
92;30;5;NP-Virus-G4
91;31;5;NP-Virus-G4
90;32;5;NP-Virus-G4
90;32;5;NP-Virus-G4
90;32;5;NP-Virus-G4
91;31;5;NP-Virus-G4
90;32;5;NP-Virus-G4
89;33;5;NP-Virus-G4
89;33;5;NP-Virus-G4
85;37;5;NP-Virus-G4
84;38;5;NP-Virus-G4
84;38;5;NP-Virus-G4
86;36;5;NP-Virus-G4
86;36;5;NP-Virus-G4
83;39;5;NP-Virus-G4
80;42;5;NP-Virus-G4
78;44;5;NP-Virus-G4
72;50;5;NP-Virus-G4
72;50;5;NP-Virus-G4
69;53;5;NP-Virus-G4
65;57;5;NP-Virus-G4
61;61;5;NP-Virus-G4
59;63;5;NP-Virus-G4
61;61;5;NP-Virus-G4
57;65;5;NP-Virus-G4
55;67;5;NP-Virus-G4
52;70;5;NP-Virus-G4
53;69;5;NP-Virus-G4
52;70;5;NP-Virus-G4
53;69;5;NP-Virus-G4
56;66;5;NP-Virus-G4
53;69;5;NP-Virus-G4
51;71;5;NP-Virus-G4
52;70;5;NP-Virus-G4
52;70;5;NP-Virus-G5
51;71;5;NP-Virus-G5
45;77;5;NP-Virus-G5
45;77;5;NP-Virus-G5
40;82;5;NP-Virus-G5
39;83;5;NP-Virus-G5
37;85;5;NP-Virus-G5
37;85;5;NP-Virus-G5
42;80;5;NP-Virus-G5
42;80;5;NP-Virus-G5
45;77;5;NP-Virus-G5
45;77;5;NP-Virus-G5
45;77;5;NP-Virus-G5
49;73;5;NP-Virus-G5
47;75;5;NP-Virus-G5
49;73;5;NP-Virus-G5
48;74;5;NP-Virus-G5
49;73;5;NP-Virus-G5
52;70;5;NP-Virus-G5
52;70;5;NP-Virus-G5
54;68;5;NP-Virus-G5
53;69;5;NP-Virus-G5
52;70;5;NP-Virus-G5
50;72;5;NP-Virus-G5
51;71;5;NP-Virus-G5
50;72;5;NP-Virus-G5
51;71;5;NP-Virus-G5
52;70;5;NP-Virus-G5
51;71;5;NP-Virus-G5
50;72;5;NP-Virus-G5
50;72;5;NP-Virus-G5
52;70;5;NP-Virus-G5
52;70;5;NP-Virus-G5
53;69;5;NP-Virus-G5
56;66;5;NP-Virus-G5
56;66;5;NP-Virus-G5
54;68;5;NP-Virus-G5
54;68;5;NP-Virus-G5
54;68;5;NP-Virus-G5
53;69;5;NP-Virus-G5
52;70;5;NP-Virus-G5
53;69;5;NP-Virus-G5
54;68;5;NP-Virus-G5
54;68;5;NP-Virus-G5
54;68;5;NP-Virus-G5
56;66;5;NP-Virus-G5
56;66;5;NP-Virus-G5
62;60;5;NP-Virus-G5
63;59;5;NP-Virus-G5
65;57;5;NP-Virus-G5
67;55;5;NP-Virus-G5
65;57;5;NP-Virus-G5
66;56;5;NP-Virus-G5
66;56;5;NP-Virus-G5
66;56;5;NP-Virus-G5
66;56;5;NP-Virus-G5
66;56;5;NP-Virus-G5
67;55;5;NP-Virus-G5
66;56;5;NP-Virus-G5
65;57;5;NP-Virus-G5
65;57;5;NP-Virus-G5
67;55;5;NP-Virus-G5
65;57;5;NP-Virus-G5
62;60;5;NP-Virus-G5
61;61;5;NP-Virus-G5
60;62;5;NP-Virus-G5
63;59;5;NP-Virus-G5
64;58;5;NP-Virus-G5
61;61;5;NP-Virus-G5
62;60;5;NP-Virus-G5
64;58;5;NP-Virus-G5
63;59;5;NP-Virus-G5
65;57;5;NP-Virus-G5
64;58;5;NP-Virus-G5
65;57;5;NP-Virus-G5
66;56;5;NP-Virus-G5
64;58;5;NP-Virus-G5
62;60;5;NP-Virus-G5
63;59;5;NP-Virus-G5
65;57;5;NP-Virus-G5
66;56;5;NP-Virus-G5
65;57;5;NP-Virus-G5
61;61;5;NP-Virus-G5
60;62;5;NP-Virus-G5
58;64;5;NP-Virus-G5
60;62;5;NP-Virus-G5
63;59;5;NP-Virus-G5
66;56;5;NP-Virus-G5
64;58;5;NP-Virus-G5
64;58;5;NP-Virus-G5
60;62;5;NP-Virus-G5
61;61;5;NP-Virus-G5
61;61;5;NP-Virus-G5
60;62;5;NP-Virus-G5
60;62;5;NP-Virus-G5
63;59;5;NP-Virus-G5
59;63;5;NP-Virus-G5
58;64;5;NP-Virus-G5
58;64;5;NP-Virus-G5
57;65;5;NP-Virus-G5
54;68;5;NP-Virus-G5
52;70;5;NP-Virus-G5
52;70;5;NP-Virus-G5
53;69;5;NP-Virus-G5
53;69;5;NP-Virus-G5
51;71;5;NP-Virus-G5
50;72;5;NP-Virus-G7
52;70;5;NP-Virus-G5
50;72;5;NP-Virus-G5
50;72;5;NP-Virus-G5
46;76;5;NP-Virus-G6
43;79;5;NP-Virus-G7
42;80;5;NP-Virus-G7
42;80;5;NP-Virus-G7
42;80;5;NP-Virus-G7
42;80;5;NP-Virus-G7
43;79;5;NP-Virus-G7
45;77;5;NP-Virus-G7
44;78;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
43;79;5;NP-Virus-G7
46;76;5;NP-Virus-G7
46;76;5;NP-Virus-G7
46;76;5;NP-Virus-G7
